Filename,Depth,White_Pixels,Black_Pixels,White_Percent
MASK_Sk658 Llobe ch010039.jpg,15,21648,4172656,0.52
MASK_Sk658 Llobe ch010030.jpg,200,37799,4156505,0.9
MASK_Sk658 Llobe ch010032.jpg,500,48667,4145637,1.16
MASK_SK658 Llobe ch010067.jpg,1500,62508,4131796,1.49
MASK_Sk658 Llobe ch010146.jpg,2000,145829,4048475,3.48
MASK_SK658 Slobe ch010147.jpg,3000,80534,4113770,1.92
MASK_SK658 Slobe ch010134.jpg,4500,91653,4102651,2.19
MASK_SK658 Slobe ch010112.jpg,5500,97032,4097272,2.31
MASK_SK658 Slobe ch010126.jpg,6800,102335,4091969,2.44
MASK_SK658 Slobe ch010119.jpg,8000,137592,4056712,3.28
MASK_SK658 Slobe ch010136.jpg,9200,163638,4030666,3.9
MASK_SK658 Slobe ch010092.jpg,10000,328891,3865413,7.84
